ID,NAME,LEVEL
软件学报,软件学报,一级学报
中国科学: 信息科学,中国科学: 信息科学,一级学报
计算机学报,计算机学报,一级学报
JCST,Journal of Computer Science and Technology,CCF-B
JASIST,Journal of the Association for Information Science and Technology,CCF-B
JSS,Journal of Systems and Software,CCF-B
JSEP,Journal of Software: Evolution and Process,CCF-B
IST,Information and Software Technology,CCF-B
TASLP,"IEEE/ACM Transactions on Audio, Speech, and Language Processing",CCF-B
TSE,IEEE Transactions on Software Engineering,CCF-B
TOIS,ACM Transactions on Information Systems,CCF-A
TOMM,"ACM Transactions on Multimedia Computing, Communications and Applications",CCF-B
EMNLP,Conference on Empirical Methods in Natural Language Processing,CCF-B
COLING,International Conference on Computational Linguistics,CCF-B
WWW,The ACM Web Conference,CCF-A
IJCAI,International Joint Conference on Artificial Intelligence,CCF-A
AAAI,AAAI Conference on Artificial Intelligence,CCF-A
SIGIR,International Conference on Research and Development in Information Retrieval ,CCF-A
ACL,Annual Meeting of the Association for Computational Linguistics,CCF-A
MM,ACM International Conference on Multimedia,CCF-A
NeurIPS,Annual Conference on Neural Information Processing Systems,CCF-A
ICPC,IEEE/ACM International Conference on Program Comprehension,CCF-B
ICLR,International Conference on Learning Representations,CAAI-A
ACL,Annual Meeting of the Association for Computational Linguistics,CCF-A
ACL Findings,Findings of the Association for Computational Linguistics,
